TIER1,TIER2,TIER3,TIER1NAME,TIER2NAME,TIER3NAME
1,1,1,Fuel Combustion: Electric Utility,Coal,Bituminous
1,1,2,Fuel Combustion: Electric Utility,Coal,Subbituminous
1,1,3,Fuel Combustion: Electric Utility,Coal,Anthracite & Lignite
1,2,1,Fuel Combustion: Electric Utility,Oil,Residual
1,2,2,Fuel Combustion: Electric Utility,Oil,Distillate
1,3,1,Fuel Combustion: Electric Utility,Gas,Natural
1,3,2,Fuel Combustion: Electric Utility,Gas,Process
1,4,99,Fuel Combustion: Electric Utility,Other,Other
1,5,99,Fuel Combustion: Electric Utility,Internal Combustion,Other
2,1,1,Fuel Combustion: Industrial,Coal,Bituminous
2,1,2,Fuel Combustion: Industrial,Coal,Subbituminous
2,1,3,Fuel Combustion: Industrial,Coal,Anthracite & Lignite
2,1,99,Fuel Combustion: Industrial,Coal,Other
2,2,1,Fuel Combustion: Industrial,Oil,Residual
2,2,2,Fuel Combustion: Industrial,Oil,Distillate
2,2,99,Fuel Combustion: Industrial,Oil,Other
2,3,1,Fuel Combustion: Industrial,Gas,Natural
2,3,2,Fuel Combustion: Industrial,Gas,Process
2,3,99,Fuel Combustion: Industrial,Gas,Other
2,4,1,Fuel Combustion: Industrial,Other,Wood/Bark Waste
2,4,2,Fuel Combustion: Industrial,Other,Liquid Waste
2,4,99,Fuel Combustion: Industrial,Other,Other
2,5,99,Fuel Combustion: Industrial,Internal Combustion,Other
3,1,99,Fuel Combustion: Other,Commercial/Institutional Coal,Other
3,2,99,Fuel Combustion: Other,Commercial/Institutional Oil,Other
3,3,99,Fuel Combustion: Other,Commercial/Institutional Gas,Other
3,4,99,Fuel Combustion: Other,Misc. Fuel Combustion (Except Residential),Other
3,5,1,Fuel Combustion: Other,Residential Wood,Fireplaces
3,5,2,Fuel Combustion: Other,Residential Wood,Woodstoves
3,5,99,Fuel Combustion: Other,Residential Wood,Other
3,6,1,Fuel Combustion: Other,Residential Other,Distillate Oil
3,6,2,Fuel Combustion: Other,Residential Other,Natural Gas
3,6,3,Fuel Combustion: Other,Residential Other,Bituminous/Subbituminous Coal
3,6,99,Fuel Combustion: Other,Residential Other,Other
4,1,1,Chemical & Allied Product Manufacturing,Organic Chemical Manufacturing,Ethylene Oxide Manufacturing
