SOURCEINDX,FIPS,STFIPS,CNTYFIPS,STNAME,CYNAME
1,01001,01,001,Alabama,Autauga
2,01003,01,003,Alabama,Baldwin
3,01005,01,005,Alabama,Barbour
4,01007,01,007,Alabama,Bibb
5,01009,01,009,Alabama,Blount
6,01011,01,011,Alabama,Bullock
7,01013,01,013,Alabama,Butler
8,01015,01,015,Alabama,Calhoun
9,01017,01,017,Alabama,Chambers
10,01019,01,019,Alabama,Cherokee
11,01021,01,021,Alabama,Chilton
12,01023,01,023,Alabama,Choctaw
13,01025,01,025,Alabama,Clarke
14,01027,01,027,Alabama,Clay
15,01029,01,029,Alabama,Cleburne
16,01031,01,031,Alabama,Coffee
17,01033,01,033,Alabama,Colbert
18,01035,01,035,Alabama,Conecuh
19,01037,01,037,Alabama,Coosa
20,01039,01,039,Alabama,Covington
21,01041,01,041,Alabama,Crenshaw
22,01043,01,043,Alabama,Cullman
23,01045,01,045,Alabama,Dale
24,01047,01,047,Alabama,Dallas
25,01049,01,049,Alabama,De Kalb
26,01051,01,051,Alabama,Elmore
27,01053,01,053,Alabama,Escambia
28,01055,01,055,Alabama,Etowah
29,01057,01,057,Alabama,Fayette
30,01059,01,059,Alabama,Franklin
31,01061,01,061,Alabama,Geneva
32,01063,01,063,Alabama,Greene
33,01065,01,065,Alabama,Hale
34,01067,01,067,Alabama,Henry
35,01069,01,069,Alabama,Houston
36,01071,01,071,Alabama,Jackson
37,01073,01,073,Alabama,Jefferson
38,01075,01,075,Alabama,Lamar
39,01077,01,077,Alabama,Lauderdale
40,01079,01,079,Alabama,Lawrence
41,01081,01,081,Alabama,Lee
42,01083,01,083,Alabama,Limestone
43,01085,01,085,Alabama,Lowndes
44,01087,01,087,Alabama,Macon
45,01089,01,089,Alabama,Madison
46,01091,01,091,Alabama,Marengo
47,01093,01,093,Alabama,Marion
48,01095,01,095,Alabama,Marshall
49,01097,01,097,Alabama,Mobile
50,01099,01,099,Alabama,Monroe
51,01101,01,101,Alabama,Montgomery
52,01103,01,103,Alabama,Morgan
53,01105,01,105,Alabama,Perry
54,01107,01,107,Alabama,Pickens
55,01109,01,109,Alabama,Pike
56,01111,01,111,Alabama,Randolph
57,01113,01,113,Alabama,Russell
58,01115,01,115,Alabama,St Clair
59,01117,01,117,Alabama,Shelby
60,01119,01,119,Alabama,Sumter
61,01121,01,121,Alabama,Talladega
62,01123,01,123,Alabama,Tallapoosa
63,01125,01,125,Alabama,Tuscaloosa
64,01127,01,127,Alabama,Walker
65,01129,01,129,Alabama,Washington
66,01131,01,131,Alabama,Wilcox
67,01133,01,133,Alabama,Winston
68,04001,04,001,Arizona,Apache
69,04003,04,003,Arizona,Cochise
70,04005,04,005,Arizona,Coconino
71,04007,04,007,Arizona,Gila
72,04009,04,009,Arizona,Graham
73,04011,04,011,Arizona,Greenlee
74,04012,04,012,Arizona,La Paz
75,04013,04,013,Arizona,Maricopa
76,04015,04,015,Arizona,Mohave
77,04017,04,017,Arizona,Navajo
78,04019,04,019,Arizona,Pima
79,04021,04,021,Arizona,Pinal
80,04023,04,023,Arizona,Santa Cruz
81,04025,04,025,Arizona,Yavapai
82,04027,04,027,Arizona,Yuma
83,05001,05,001,Arkansas,Arkansas
84,05003,05,003,Arkansas,Ashley
85,05005,05,005,Arkansas,Baxter
86,05007,05,007,Arkansas,Benton
87,05009,05,009,Arkansas,Boone
88,05011,05,011,Arkansas,Bradley
89,05013,05,013,Arkansas,Calhoun
90,05015,05,015,Arkansas,Carroll
91,05017,05,017,Arkansas,Chicot
92,05019,05,019,Arkansas,Clark
93,05021,05,021,Arkansas,Clay
94,05023,05,023,Arkansas,Cleburne
95,05025,05,025,Arkansas,Cleveland
96,05027,05,027,Arkansas,Columbia
97,05029,05,029,Arkansas,Conway
98,05031,05,031,Arkansas,Craighead
99,05033,05,033,Arkansas,Crawford
100,05035,05,035,Arkansas,Crittenden
101,05037,05,037,Arkansas,Cross
102,05039,05,039,Arkansas,Dallas
103,05041,05,041,Arkansas,Desha
104,05043,05,043,Arkansas,Drew
105,05045,05,045,Arkansas,Faulkner
106,05047,05,047,Arkansas,Franklin
107,05049,05,049,Arkansas,Fulton
108,05051,05,051,Arkansas,Garland
109,05053,05,053,Arkansas,Grant
110,05055,05,055,Arkansas,Greene
111,05057,05,057,Arkansas,Hempstead
112,05059,05,059,Arkansas,Hot Spring
113,05061,05,061,Arkansas,Howard
114,05063,05,063,Arkansas,Independence
115,05065,05,065,Arkansas,Izard
116,05067,05,067,Arkansas,Jackson
117,05069,05,069,Arkansas,Jefferson
118,05071,05,071,Arkansas,Johnson
119,05073,05,073,Arkansas,Lafayette
120,05075,05,075,Arkansas,Lawrence
121,05077,05,077,Arkansas,Lee
122,05079,05,079,Arkansas,Lincoln
123,05081,05,081,Arkansas,Little River
124,05083,05,083,Arkansas,Logan
125,05085,05,085,Arkansas,Lonoke
126,05087,05,087,Arkansas,Madison
127,05089,05,089,Arkansas,Marion
128,05091,05,091,Arkansas,Miller
129,05093,05,093,Arkansas,Mississippi
130,05095,05,095,Arkansas,Monroe
131,05097,05,097,Arkansas,Montgomery
132,05099,05,099,Arkansas,Nevada
133,05101,05,101,Arkansas,Newton
134,05103,05,103,Arkansas,Ouachita
135,05105,05,105,Arkansas,Perry
136,05107,05,107,Arkansas,Phillips
137,05109,05,109,Arkansas,Pike
138,05111,05,111,Arkansas,Poinsett
139,05113,05,113,Arkansas,Polk
140,05115,05,115,Arkansas,Pope
141,05117,05,117,Arkansas,Prairie
142,05119,05,119,Arkansas,Pulaski
143,05121,05,121,Arkansas,Randolph
144,05123,05,123,Arkansas,St Francis
145,05125,05,125,Arkansas,Saline
146,05127,05,127,Arkansas,Scott
147,05129,05,129,Arkansas,Searcy
148,05131,05,131,Arkansas,Sebastian
149,05133,05,133,Arkansas,Sevier
150,05135,05,135,Arkansas,Sharp
151,05137,05,137,Arkansas,Stone
152,05139,05,139,Arkansas,Union
153,05141,05,141,Arkansas,Van Buren
154,05143,05,143,Arkansas,Washington
155,05145,05,145,Arkansas,White
156,05147,05,147,Arkansas,Woodruff
157,05149,05,149,Arkansas,Yell
158,06001,06,001,California,Alameda
159,06003,06,003,California,Alpine
160,06005,06,005,California,Amador
161,06007,06,007,California,Butte
162,06009,06,009,California,Calaveras
163,06011,06,011,California,Colusa
164,06013,06,013,California,Contra Costa
165,06015,06,015,California,Del Norte
166,06017,06,017,California,El Dorado
167,06019,06,019,California,Fresno
168,06021,06,021,California,Glenn
169,06023,06,023,California,Humboldt
170,06025,06,025,California,Imperial
171,06027,06,027,California,Inyo
172,06029,06,029,California,Kern
173,06031,06,031,California,Kings
174,06033,06,033,California,Lake
175,06035,06,035,California,Lassen
176,06037,06,037,California,Los Angeles
177,06039,06,039,California,Madera
178,06041,06,041,California,Marin
179,06043,06,043,California,Mariposa
180,06045,06,045,California,Mendocino
181,06047,06,047,California,Merced
182,06049,06,049,California,Modoc
183,06051,06,051,California,Mono
184,06053,06,053,California,Monterey
185,06055,06,055,California,Napa
186,06057,06,057,California,Nevada
187,06059,06,059,California,Orange
188,06061,06,061,California,Placer
189,06063,06,063,California,Plumas
190,06065,06,065,California,Riverside
191,06067,06,067,California,Sacramento
192,06069,06,069,California,San Benito
193,06071,06,071,California,San Bernardino
194,06073,06,073,California,San Diego
195,06075,06,075,California,San Francisco
196,06077,06,077,California,San Joaquin
197,06079,06,079,California,San Luis Obispo
198,06081,06,081,California,San Mateo
199,06083,06,083,California,Santa Barbara
200,06085,06,085,California,Santa Clara
201,06087,06,087,California,Santa Cruz
202,06089,06,089,California,Shasta
203,06091,06,091,California,Sierra
204,06093,06,093,California,Siskiyou
205,06095,06,095,California,Solano
206,06097,06,097,California,Sonoma
207,06099,06,099,California,Stanislaus
208,06101,06,101,California,Sutter
209,06103,06,103,California,Tehama
210,06105,06,105,California,Trinity
211,06107,06,107,California,Tulare
212,06109,06,109,California,Tuolumne
213,06111,06,111,California,Ventura
214,06113,06,113,California,Yolo
215,06115,06,115,California,Yuba
216,08001,08,001,Colorado,Adams
217,08003,08,003,Colorado,Alamosa
218,08005,08,005,Colorado,Arapahoe
219,08007,08,007,Colorado,Archuleta
220,08009,08,009,Colorado,Baca
221,08011,08,011,Colorado,Bent
222,08013,08,013,Colorado,Boulder
223,08014,08,014,Colorado,Broomfield
224,08015,08,015,Colorado,Chaffee
225,08017,08,017,Colorado,Cheyenne
226,08019,08,019,Colorado,Clear Creek
227,08021,08,021,Colorado,Conejos
228,08023,08,023,Colorado,Costilla
229,08025,08,025,Colorado,Crowley
230,08027,08,027,Colorado,Custer
231,08029,08,029,Colorado,Delta
232,08031,08,031,Colorado,Denver
233,08033,08,033,Colorado,Dolores
234,08035,08,035,Colorado,Douglas
235,08037,08,037,Colorado,Eagle
236,08039,08,039,Colorado,Elbert
237,08041,08,041,Colorado,El Paso
238,08043,08,043,Colorado,Fremont
239,08045,08,045,Colorado,Garfield
240,08047,08,047,Colorado,Gilpin
241,08049,08,049,Colorado,Grand
242,08051,08,051,Colorado,Gunnison
243,08053,08,053,Colorado,Hinsdale
244,08055,08,055,Colorado,Huerfano
245,08057,08,057,Colorado,Jackson
246,08059,08,059,Colorado,Jefferson
247,08061,08,061,Colorado,Kiowa
248,08063,08,063,Colorado,Kit Carson
249,08065,08,065,Colorado,Lake
250,08067,08,067,Colorado,La Plata
251,08069,08,069,Colorado,Larimer
252,08071,08,071,Colorado,Las Animas
253,08073,08,073,Colorado,Lincoln
254,08075,08,075,Colorado,Logan
255,08077,08,077,Colorado,Mesa
256,08079,08,079,Colorado,Mineral
257,08081,08,081,Colorado,Moffat
258,08083,08,083,Colorado,Montezuma
259,08085,08,085,Colorado,Montrose
260,08087,08,087,Colorado,Morgan
261,08089,08,089,Colorado,Otero
262,08091,08,091,Colorado,Ouray
263,08093,08,093,Colorado,Park
264,08095,08,095,Colorado,Phillips
265,08097,08,097,Colorado,Pitkin
266,08099,08,099,Colorado,Prowers
267,08101,08,101,Colorado,Pueblo
268,08103,08,103,Colorado,Rio Blanco
269,08105,08,105,Colorado,Rio Grande
270,08107,08,107,Colorado,Routt
271,08109,08,109,Colorado,Saguache
272,08111,08,111,Colorado,San Juan
273,08113,08,113,Colorado,San Miguel
274,08115,08,115,Colorado,Sedgwick
275,08117,08,117,Colorado,Summit
276,08119,08,119,Colorado,Teller
277,08121,08,121,Colorado,Washington
278,08123,08,123,Colorado,Weld
279,08125,08,125,Colorado,Yuma
280,09001,09,001,Connecticut,Fairfield
281,09003,09,003,Connecticut,Hartford
282,09005,09,005,Connecticut,Litchfield
283,09007,09,007,Connecticut,Middlesex
284,09009,09,009,Connecticut,New Haven
285,09011,09,011,Connecticut,New London
286,09013,09,013,Connecticut,Tolland
287,09015,09,015,Connecticut,Windham
288,10001,10,001,Delaware,Kent
289,10003,10,003,Delaware,New Castle
290,10005,10,005,Delaware,Sussex
291,11001,11,001,District of Columbia,District of Columbia
292,12001,12,001,Florida,Alachua
293,12003,12,003,Florida,Baker
294,12005,12,005,Florida,Bay
295,12007,12,007,Florida,Bradford
296,12009,12,009,Florida,Brevard
297,12011,12,011,Florida,Broward
298,12013,12,013,Florida,Calhoun
299,12015,12,015,Florida,Charlotte
300,12017,12,017,Florida,Citrus
301,12019,12,019,Florida,Clay
302,12021,12,021,Florida,Collier
303,12023,12,023,Florida,Columbia
304,12027,12,027,Florida,De Soto
305,12029,12,029,Florida,Dixie
306,12031,12,031,Florida,Duval
307,12033,12,033,Florida,Escambia
308,12035,12,035,Florida,Flagler
309,12037,12,037,Florida,Franklin
310,12039,12,039,Florida,Gadsden
311,12041,12,041,Florida,Gilchrist
312,12043,12,043,Florida,Glades
313,12045,12,045,Florida,Gulf
314,12047,12,047,Florida,Hamilton
315,12049,12,049,Florida,Hardee
316,12051,12,051,Florida,Hendry
317,12053,12,053,Florida,Hernando
318,12055,12,055,Florida,Highlands
319,12057,12,057,Florida,Hillsborough
320,12059,12,059,Florida,Holmes
321,12061,12,061,Florida,Indian River
322,12063,12,063,Florida,Jackson
323,12065,12,065,Florida,Jefferson
324,12067,12,067,Florida,Lafayette
325,12069,12,069,Florida,Lake
326,12071,12,071,Florida,Lee
327,12073,12,073,Florida,Leon
328,12075,12,075,Florida,Levy
329,12077,12,077,Florida,Liberty
330,12079,12,079,Florida,Madison
331,12081,12,081,Florida,Manatee
332,12083,12,083,Florida,Marion
333,12085,12,085,Florida,Martin
334,12086,12,086,Florida,Miami-Dade
335,12087,12,087,Florida,Monroe
336,12089,12,089,Florida,Nassau
337,12091,12,091,Florida,Okaloosa
338,12093,12,093,Florida,Okeechobee
339,12095,12,095,Florida,Orange
340,12097,12,097,Florida,Osceola
341,12099,12,099,Florida,Palm Beach
342,12101,12,101,Florida,Pasco
343,12103,12,103,Florida,Pinellas
344,12105,12,105,Florida,Polk
345,12107,12,107,Florida,Putnam
346,12109,12,109,Florida,St Johns
347,12111,12,111,Florida,St Lucie
348,12113,12,113,Florida,Santa Rosa
349,12115,12,115,Florida,Sarasota
350,12117,12,117,Florida,Seminole
351,12119,12,119,Florida,Sumter
352,12121,12,121,Florida,Suwannee
353,12123,12,123,Florida,Taylor
354,12125,12,125,Florida,Union
355,12127,12,127,Florida,Volusia
356,12129,12,129,Florida,Wakulla
357,12131,12,131,Florida,Walton
358,12133,12,133,Florida,Washington
359,13001,13,001,Georgia,Appling
360,13003,13,003,Georgia,Atkinson
361,13005,13,005,Georgia,Bacon
362,13007,13,007,Georgia,Baker
363,13009,13,009,Georgia,Baldwin
364,13011,13,011,Georgia,Banks
365,13013,13,013,Georgia,Barrow
366,13015,13,015,Georgia,Bartow
367,13017,13,017,Georgia,Ben Hill
368,13019,13,019,Georgia,Berrien
369,13021,13,021,Georgia,Bibb
370,13023,13,023,Georgia,Bleckley
371,13025,13,025,Georgia,Brantley
372,13027,13,027,Georgia,Brooks
373,13029,13,029,Georgia,Bryan
374,13031,13,031,Georgia,Bulloch
375,13033,13,033,Georgia,Burke
376,13035,13,035,Georgia,Butts
377,13037,13,037,Georgia,Calhoun
378,13039,13,039,Georgia,Camden
379,13043,13,043,Georgia,Candler
380,13045,13,045,Georgia,Carroll
381,13047,13,047,Georgia,Catoosa
382,13049,13,049,Georgia,Charlton
383,13051,13,051,Georgia,Chatham
384,13053,13,053,Georgia,Chattahoochee
385,13055,13,055,Georgia,Chattooga
386,13057,13,057,Georgia,Cherokee
387,13059,13,059,Georgia,Clarke
388,13061,13,061,Georgia,Clay
389,13063,13,063,Georgia,Clayton
390,13065,13,065,Georgia,Clinch
391,13067,13,067,Georgia,Cobb
392,13069,13,069,Georgia,Coffee
393,13071,13,071,Georgia,Colquitt
394,13073,13,073,Georgia,Columbia
395,13075,13,075,Georgia,Cook
396,13077,13,077,Georgia,Coweta
397,13079,13,079,Georgia,Crawford
398,13081,13,081,Georgia,Crisp
399,13083,13,083,Georgia,Dade
400,13085,13,085,Georgia,Dawson
401,13087,13,087,Georgia,Decatur
402,13089,13,089,Georgia,De Kalb
403,13091,13,091,Georgia,Dodge
404,13093,13,093,Georgia,Dooly
405,13095,13,095,Georgia,Dougherty
406,13097,13,097,Georgia,Douglas
407,13099,13,099,Georgia,Early
408,13101,13,101,Georgia,Echols
409,13103,13,103,Georgia,Effingham
410,13105,13,105,Georgia,Elbert
411,13107,13,107,Georgia,Emanuel
412,13109,13,109,Georgia,Evans
413,13111,13,111,Georgia,Fannin
414,13113,13,113,Georgia,Fayette
415,13115,13,115,Georgia,Floyd
416,13117,13,117,Georgia,Forsyth
417,13119,13,119,Georgia,Franklin
418,13121,13,121,Georgia,Fulton
419,13123,13,123,Georgia,Gilmer
420,13125,13,125,Georgia,Glascock
421,13127,13,127,Georgia,Glynn
422,13129,13,129,Georgia,Gordon
423,13131,13,131,Georgia,Grady
424,13133,13,133,Georgia,Greene
425,13135,13,135,Georgia,Gwinnett
426,13137,13,137,Georgia,Habersham
427,13139,13,139,Georgia,Hall
428,13141,13,141,Georgia,Hancock
429,13143,13,143,Georgia,Haralson
430,13145,13,145,Georgia,Harris
431,13147,13,147,Georgia,Hart
432,13149,13,149,Georgia,Heard
433,13151,13,151,Georgia,Henry
434,13153,13,153,Georgia,Houston
435,13155,13,155,Georgia,Irwin
436,13157,13,157,Georgia,Jackson
437,13159,13,159,Georgia,Jasper
438,13161,13,161,Georgia,Jeff Davis
439,13163,13,163,Georgia,Jefferson
440,13165,13,165,Georgia,Jenkins
441,13167,13,167,Georgia,Johnson
442,13169,13,169,Georgia,Jones
443,13171,13,171,Georgia,Lamar
444,13173,13,173,Georgia,Lanier
445,13175,13,175,Georgia,Laurens
446,13177,13,177,Georgia,Lee
447,13179,13,179,Georgia,Liberty
448,13181,13,181,Georgia,Lincoln
449,13183,13,183,Georgia,Long
450,13185,13,185,Georgia,Lowndes
451,13187,13,187,Georgia,Lumpkin
452,13189,13,189,Georgia,McDuffie
453,13191,13,191,Georgia,McIntosh
454,13193,13,193,Georgia,Macon
455,13195,13,195,Georgia,Madison
456,13197,13,197,Georgia,Marion
457,13199,13,199,Georgia,Meriwether
458,13201,13,201,Georgia,Miller
459,13205,13,205,Georgia,Mitchell
460,13207,13,207,Georgia,Monroe
461,13209,13,209,Georgia,Montgomery
462,13211,13,211,Georgia,Morgan
463,13213,13,213,Georgia,Murray
464,13215,13,215,Georgia,Muscogee
465,13217,13,217,Georgia,Newton
466,13219,13,219,Georgia,Oconee
467,13221,13,221,Georgia,Oglethorpe
468,13223,13,223,Georgia,Paulding
469,13225,13,225,Georgia,Peach
470,13227,13,227,Georgia,Pickens
471,13229,13,229,Georgia,Pierce
472,13231,13,231,Georgia,Pike
473,13233,13,233,Georgia,Polk
474,13235,13,235,Georgia,Pulaski
475,13237,13,237,Georgia,Putnam
476,13239,13,239,Georgia,Quitman
477,13241,13,241,Georgia,Rabun
478,13243,13,243,Georgia,Randolph
479,13245,13,245,Georgia,Richmond
480,13247,13,247,Georgia,Rockdale
481,13249,13,249,Georgia,Schley
482,13251,13,251,Georgia,Screven
483,13253,13,253,Georgia,Seminole
484,13255,13,255,Georgia,Spalding
485,13257,13,257,Georgia,Stephens
486,13259,13,259,Georgia,Stewart
487,13261,13,261,Georgia,Sumter
488,13263,13,263,Georgia,Talbot
489,13265,13,265,Georgia,Taliaferro
490,13267,13,267,Georgia,Tattnall
491,13269,13,269,Georgia,Taylor
492,13271,13,271,Georgia,Telfair
493,13273,13,273,Georgia,Terrell
494,13275,13,275,Georgia,Thomas
495,13277,13,277,Georgia,Tift
496,13279,13,279,Georgia,Toombs
497,13281,13,281,Georgia,Towns
498,13283,13,283,Georgia,Treutlen
499,13285,13,285,Georgia,Troup
500,13287,13,287,Georgia,Turner
501,13289,13,289,Georgia,Twiggs
502,13291,13,291,Georgia,Union
503,13293,13,293,Georgia,Upson
504,13295,13,295,Georgia,Walker
505,13297,13,297,Georgia,Walton
506,13299,13,299,Georgia,Ware
507,13301,13,301,Georgia,Warren
508,13303,13,303,Georgia,Washington
509,13305,13,305,Georgia,Wayne
510,13307,13,307,Georgia,Webster
511,13309,13,309,Georgia,Wheeler
512,13311,13,311,Georgia,White
513,13313,13,313,Georgia,Whitfield
514,13315,13,315,Georgia,Wilcox
515,13317,13,317,Georgia,Wilkes
516,13319,13,319,Georgia,Wilkinson
517,13321,13,321,Georgia,Worth
518,16001,16,001,Idaho,Ada
519,16003,16,003,Idaho,Adams
520,16005,16,005,Idaho,Bannock
521,16007,16,007,Idaho,Bear Lake
522,16009,16,009,Idaho,Benewah
523,16011,16,011,Idaho,Bingham
524,16013,16,013,Idaho,Blaine
525,16015,16,015,Idaho,Boise
526,16017,16,017,Idaho,Bonner
527,16019,16,019,Idaho,Bonneville
528,16021,16,021,Idaho,Boundary
529,16023,16,023,Idaho,Butte
530,16025,16,025,Idaho,Camas
531,16027,16,027,Idaho,Canyon
532,16029,16,029,Idaho,Caribou
533,16031,16,031,Idaho,Cassia
534,16033,16,033,Idaho,Clark
535,16035,16,035,Idaho,Clearwater
536,16037,16,037,Idaho,Custer
537,16039,16,039,Idaho,Elmore
538,16041,16,041,Idaho,Franklin
539,16043,16,043,Idaho,Fremont
540,16045,16,045,Idaho,Gem
541,16047,16,047,Idaho,Gooding
542,16049,16,049,Idaho,Idaho
543,16051,16,051,Idaho,Jefferson
544,16053,16,053,Idaho,Jerome
545,16055,16,055,Idaho,Kootenai
546,16057,16,057,Idaho,Latah
547,16059,16,059,Idaho,Lemhi
548,16061,16,061,Idaho,Lewis
549,16063,16,063,Idaho,Lincoln
550,16065,16,065,Idaho,Madison
551,16067,16,067,Idaho,Minidoka
552,16069,16,069,Idaho,Nez Perce
553,16071,16,071,Idaho,Oneida
554,16073,16,073,Idaho,Owyhee
555,16075,16,075,Idaho,Payette
556,16077,16,077,Idaho,Power
557,16079,16,079,Idaho,Shoshone
558,16081,16,081,Idaho,Teton
559,16083,16,083,Idaho,Twin Falls
560,16085,16,085,Idaho,Valley
561,16087,16,087,Idaho,Washington
562,17001,17,001,Illinois,Adams
563,17003,17,003,Illinois,Alexander
564,17005,17,005,Illinois,Bond
565,17007,17,007,Illinois,Boone
566,17009,17,009,Illinois,Brown
567,17011,17,011,Illinois,Bureau
568,17013,17,013,Illinois,Calhoun
569,17015,17,015,Illinois,Carroll
570,17017,17,017,Illinois,Cass
571,17019,17,019,Illinois,Champaign
572,17021,17,021,Illinois,Christian
573,17023,17,023,Illinois,Clark
574,17025,17,025,Illinois,Clay
575,17027,17,027,Illinois,Clinton
576,17029,17,029,Illinois,Coles
577,17031,17,031,Illinois,Cook
578,17033,17,033,Illinois,Crawford
579,17035,17,035,Illinois,Cumberland
580,17037,17,037,Illinois,De Kalb
581,17039,17,039,Illinois,Dewitt
582,17041,17,041,Illinois,Douglas
583,17043,17,043,Illinois,Du Page
584,17045,17,045,Illinois,Edgar
585,17047,17,047,Illinois,Edwards
586,17049,17,049,Illinois,Effingham
587,17051,17,051,Illinois,Fayette
588,17053,17,053,Illinois,Ford
589,17055,17,055,Illinois,Franklin
590,17057,17,057,Illinois,Fulton
591,17059,17,059,Illinois,Gallatin
592,17061,17,061,Illinois,Greene
593,17063,17,063,Illinois,Grundy
594,17065,17,065,Illinois,Hamilton
595,17067,17,067,Illinois,Hancock
596,17069,17,069,Illinois,Hardin
597,17071,17,071,Illinois,Henderson
598,17073,17,073,Illinois,Henry
599,17075,17,075,Illinois,Iroquois
600,17077,17,077,Illinois,Jackson
601,17079,17,079,Illinois,Jasper
602,17081,17,081,Illinois,Jefferson
603,17083,17,083,Illinois,Jersey
604,17085,17,085,Illinois,Jo Daviess
605,17087,17,087,Illinois,Johnson
606,17089,17,089,Illinois,Kane
607,17091,17,091,Illinois,Kankakee
608,17093,17,093,Illinois,Kendall
609,17095,17,095,Illinois,Knox
610,17097,17,097,Illinois,Lake
611,17099,17,099,Illinois,La Salle
612,17101,17,101,Illinois,Lawrence
613,17103,17,103,Illinois,Lee
614,17105,17,105,Illinois,Livingston
615,17107,17,107,Illinois,Logan
616,17109,17,109,Illinois,McDonough
