"Year","DestinationID","FIPS","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70","Age71","Age72","Age73","Age74","Age75","Age76","Age77","Age78","Age79","Age80","Age81","Age82","Age83","Age84","Age85","Age86","Age87","Age88","Age89","Age90","Age91","Age92","Age93","Age94","Age95","Age96","Age97","Age98","Age99"
2016,1,1001,744.2158,668.694475,668.694475,668.694475,668.694475,763.82916,763.82916,763.82916,763.82916,763.82916,803.73354,803.73354,803.73354,803.73354,803.73354,886.88834,886.88834,886.88834,886.88834,886.88834,687.90252,687.90252,687.90252,687.90252,687.90252,726.94592,726.94592,726.94592,726.94592,726.94592,676.77776,676.77776,676.77776,676.77776,676.77776,719.75118,719.75118,719.75118,719.75118,719.75118,776.73866,776.73866,776.73866,776.73866,776.73866,803.97136,803.97136,803.97136,803.97136,803.97136,814.10822,814.10822,814.10822,814.10822,814.10822,762.8086,762.8086,762.8086,762.8086,762.8086,622.9366,622.9366,622.9366,622.9366,622.9366,551.7742,551.7742,551.7742,551.7742,551.7742,424.43744,424.43744,424.43744,424.43744,424.43744,319.54854,319.54854,319.54854,319.54854,319.54854,203.5301,203.5301,203.5301,203.5301,203.5301,44.93138667,44.93138667,44.93138667,44.93138667,44.93138667,44.93138667,44.93138667,44.93138667,44.93138667,44.93138667,44.93138667,44.93138667,44.93138667,44.93138667,44.93138667
2016,2,1003,2624.4395,2325.2454,2325.2454,2325.2454,2325.2454,2452.60102,2452.60102,2452.60102,2452.60102,2452.60102,2588.26622,2588.26622,2588.26622,2588.26622,2588.26622,2541.42982,2541.42982,2541.42982,2541.42982,2541.42982,2148.24732,2148.24732,2148.24732,2148.24732,2148.24732,2459.25822,2459.25822,2459.25822,2459.25822,2459.25822,2313.23344,2313.23344,2313.23344,2313.23344,2313.23344,2483.19238,2483.19238,2483.19238,2483.19238,2483.19238,2502.82738,2502.82738,2502.82738,2502.82738,2502.82738,2746.35586,2746.35586,2746.35586,2746.35586,2746.35586,2875.2307,2875.2307,2875.2307,2875.2307,2875.2307,3002.15834,3002.15834,3002.15834,3002.15834,3002.15834,2837.33776,2837.33776,2837.33776,2837.33776,2837.33776,2780.0479,2780.0479,2780.0479,2780.0479,2780.0479,2127.38864,2127.38864,2127.38864,2127.38864,2127.38864,1496.32674,1496.32674,1496.32674,1496.32674,1496.32674,957.85498,957.85498,957.85498,957.85498,957.85498,277.5781667,277.5781667,277.5781667,277.5781667,277.5781667,277.5781667,277.5781667,277.5781667,277.5781667,277.5781667,277.5781667,277.5781667,277.5781667,277.5781667,277.5781667
2016,3,1005,300.1449,287.074725,287.074725,287.074725,287.074725,335.28038,335.28038,335.28038,335.28038,335.28038,321.17388,321.17388,321.17388,321.17388,321.17388,290.09596,290.09596,290.09596,290.09596,290.09596,312.27648,312.27648,312.27648,312.27648,312.27648,398.22184,398.22184,398.22184,398.22184,398.22184,389.96276,389.96276,389.96276,389.96276,389.96276,343.81264,343.81264,343.81264,343.81264,343.81264,345.48964,345.48964,345.48964,345.48964,345.48964,359.0721,359.0721,359.0721,359.0721,359.0721,390.226,390.226,390.226,390.226,390.226,349.12894,349.12894,349.12894,349.12894,349.12894,352.12476,352.12476,352.12476,352.12476,352.12476,324.72176,324.72176,324.72176,324.72176,324.72176,238.08594,238.08594,238.08594,238.08594,238.08594,159.73368,159.73368,159.73368,159.73368,159.73368,116.86074,116.86074,116.86074,116.86074,116.86074,32.80221333,32.80221333,32.80221333,32.80221333,32.80221333,32.80221333,32.80221333,32.80221333,32.80221333,32.80221333,32.80221333,32.80221333,32.80221333,32.80221333,32.80221333
2016,4,1007,270.2164,237.701725,237.701725,237.701725,237.701725,251.91012,251.91012,251.91012,251.91012,251.91012,260.87966,260.87966,260.87966,260.87966,260.87966,280.88268,280.88268,280.88268,280.88268,280.88268,256.371,256.371,256.371,256.371,256.371,338.16478,338.16478,338.16478,338.16478,338.16478,316.44084,316.44084,316.44084,316.44084,316.44084,321.33788,321.33788,321.33788,321.33788,321.33788,316.521,316.521,316.521,316.521,316.521,340.42554,340.42554,340.42554,340.42554,340.42554,347.4164,347.4164,347.4164,347.4164,347.4164,309.57374,309.57374,309.57374,309.57374,309.57374,272.02516,272.02516,272.02516,272.02516,272.02516,240.59062,240.59062,240.59062,240.59062,240.59062,172.29496,172.29496,172.29496,172.29496,172.29496,136.46144,136.46144,136.46144,136.46144,136.46144,87.15004,87.15004,87.15004,87.15004,87.15004,21.25592,21.25592,21.25592,21.25592,21.25592,21.25592,21.25592,21.25592,21.25592,21.25592,21.25592,21.25592,21.25592,21.25592,21.25592
2016,5,1009,780.7311,693.102325,693.102325,693.102325,693.102325,761.55972,761.55972,761.55972,761.55972,761.55972,764.11308,764.11308,764.11308,764.11308,764.11308,797.04388,797.04388,797.04388,797.04388,797.04388,661.9783,661.9783,661.9783,661.9783,661.9783,714.70294,714.70294,714.70294,714.70294,714.70294,669.78878,669.78878,669.78878,669.78878,669.78878,729.11338,729.11338,729.11338,729.11338,729.11338,747.79952,747.79952,747.79952,747.79952,747.79952,815.4481,815.4481,815.4481,815.4481,815.4481,806.36376,806.36376,806.36376,806.36376,806.36376,793.95,793.95,793.95,793.95,793.95,755.61602,755.61602,755.61602,755.61602,755.61602,713.26476,713.26476,713.26476,713.26476,713.26476,547.68456,547.68456,547.68456,547.68456,547.68456,374.8312,374.8312,374.8312,374.8312,374.8312,249.33852,249.33852,249.33852,249.33852,249.33852,63.27802667,63.27802667,63.27802667,63.27802667,63.27802667,63.27802667,63.27802667,63.27802667,63.27802667,63.27802667,63.27802667,63.27802667,63.27802667,63.27802667,63.27802667
2016,6,1011,130.7172,131.74955,131.74955,131.74955,131.74955,143.37778,143.37778,143.37778,143.37778,143.37778,117.42292,117.42292,117.42292,117.42292,117.42292,115.08202,115.08202,115.08202,115.08202,115.08202,134.3154,134.3154,134.3154,134.3154,134.3154,153.51624,153.51624,153.51624,153.51624,153.51624,161.75496,161.75496,161.75496,161.75496,161.75496,135.69458,135.69458,135.69458,135.69458,135.69458,135.9206,135.9206,135.9206,135.9206,135.9206,137.3544,137.3544,137.3544,137.3544,137.3544,142.4678,142.4678,142.4678,142.4678,142.4678,152.71316,152.71316,152.71316,152.71316,152.71316,140.3513,140.3513,140.3513,140.3513,140.3513,115.95944,115.95944,115.95944,115.95944,115.95944,81.38768,81.38768,81.38768,81.38768,81.38768,61.32396,61.32396,61.32396,61.32396,61.32396,42.25528,42.25528,42.25528,42.25528,42.25528,11.99142667,11.99142667,11.99142667,11.99142667,11.99142667,11.99142667,11.99142667,11.99142667,11.99142667,11.99142667,11.99142667,11.99142667,11.99142667,11.99142667,11.99142667
2016,7,1013,268.0733,245.520175,245.520175,245.520175,245.520175,271.25042,271.25042,271.25042,271.25042,271.25042,261.11,261.11,261.11,261.11,261.11,257.44838,257.44838,257.44838,257.44838,257.44838,211.60412,211.60412,211.60412,211.60412,211.60412,251.52194,251.52194,251.52194,251.52194,251.52194,236.22182,236.22182,236.22182,236.22182,236.22182,250.54772,250.54772,250.54772,250.54772,250.54772,225.19058,225.19058,225.19058,225.19058,225.19058,231.95576,231.95576,231.95576,231.95576,231.95576,256.26602,256.26602,256.26602,256.26602,256.26602,289.0467,289.0467,289.0467,289.0467,289.0467,293.12414,293.12414,293.12414,293.12414,293.12414,238.25382,238.25382,238.25382,238.25382,238.25382,181.40292,181.40292,181.40292,181.40292,181.40292,131.71252,131.71252,131.71252,131.71252,131.71252,97.93444,97.93444,97.93444,97.93444,97.93444,36.2094,36.2094,36.2094,36.2094,36.2094,36.2094,36.2094,36.2094,36.2094,36.2094,36.2094,36.2094,36.2094,36.2094,36.2094
2016,8,1015,1493.0633,1352.7784,1352.7784,1352.7784,1352.7784,1403.69012,1403.69012,1403.69012,1403.69012,1403.69012,1438.71238,1438.71238,1438.71238,1438.71238,1438.71238,1624.64624,1624.64624,1624.64624,1624.64624,1624.64624,1428.27018,1428.27018,1428.27018,1428.27018,1428.27018,1689.09586,1689.09586,1689.09586,1689.09586,1689.09586,1426.28706,1426.28706,1426.28706,1426.28706,1426.28706,1445.23756,1445.23756,1445.23756,1445.23756,1445.23756,1356.1023,1356.1023,1356.1023,1356.1023,1356.1023,1490.68848,1490.68848,1490.68848,1490.68848,1490.68848,1554.60676,1554.60676,1554.60676,1554.60676,1554.60676,1642.62934,1642.62934,1642.62934,1642.62934,1642.62934,1559.02022,1559.02022,1559.02022,1559.02022,1559.02022,1377.59476,1377.59476,1377.59476,1377.59476,1377.59476,945.61908,945.61908,945.61908,945.61908,945.61908,668.74574,668.74574,668.74574,668.74574,668.74574,476.59436,476.59436,476.59436,476.59436,476.59436,135.2584067,135.2584067,135.2584067,135.2584067,135.2584067,135.2584067,135.2584067,135.2584067,135.2584067,135.2584067,135.2584067,135.2584067,135.2584067,135.2584067,135.2584067
2016,9,1017,410.7694,398.678175,398.678175,398.678175,398.678175,402.65468,402.65468,402.65468,402.65468,402.65468,388.08642,388.08642,388.08642,388.08642,388.08642,403.89298,403.89298,403.89298,403.89298,403.89298,389.7365,389.7365,389.7365,389.7365,389.7365,420.67106,420.67106,420.67106,420.67106,420.67106,387.76016,387.76016,387.76016,387.76016,387.76016,378.98554,378.98554,378.98554,378.98554,378.98554,408.58986,408.58986,408.58986,408.58986,408.58986,440.14746,440.14746,440.14746,440.14746,440.14746,494.30796,494.30796,494.30796,494.30796,494.30796,511.72576,511.72576,511.72576,511.72576,511.72576,483.50752,483.50752,483.50752,483.50752,483.50752,434.58148,434.58148,434.58148,434.58148,434.58148,324.34462,324.34462,324.34462,324.34462,324.34462,224.66334,224.66334,224.66334,224.66334,224.66334,163.08568,163.08568,163.08568,163.08568,163.08568,51.40313333,51.40313333,51.40313333,51.40313333,51.40313333,51.40313333,51.40313333,51.40313333,51.40313333,51.40313333,51.40313333,51.40313333,51.40313333,51.40313333,51.40313333
2016,10,1019,285.9948,256.208925,256.208925,256.208925,256.208925,279.53212,279.53212,279.53212,279.53212,279.53212,301.18564,301.18564,301.18564,301.18564,301.18564,334.6073,334.6073,334.6073,334.6073,334.6073,264.12018,264.12018,264.12018,264.12018,264.12018,295.11242,295.11242,295.11242,295.11242,295.11242,243.39828,243.39828,243.39828,243.39828,243.39828,280.27916,280.27916,280.27916,280.27916,280.27916,320.68172,320.68172,320.68172,320.68172,320.68172,355.36452,355.36452,355.36452,355.36452,355.36452,398.77886,398.77886,398.77886,398.77886,398.77886,413.93294,413.93294,413.93294,413.93294,413.93294,395.82706,395.82706,395.82706,395.82706,395.82706,420.12146,420.12146,420.12146,420.12146,420.12146,311.18612,311.18612,311.18612,311.18612,311.18612,207.0638,207.0638,207.0638,207.0638,207.0638,135.78452,135.78452,135.78452,135.78452,135.78452,30.37615333,30.37615333,30.37615333,30.37615333,30.37615333,30.37615333,30.37615333,30.37615333,30.37615333,30.37615333,30.37615333,30.37615333,30.37615333,30.37615333,30.37615333
