"CRFunctionID","Endpoint","AirPollutant","PoolingWeight","Seasonal_Metric","Study_Author","Study_Year","Start_Age","End_Age","Function","Beta","Adjusted","Parameter_1_Beta","A","Name_A","B","Name_B","C","Name_C","Cases","HealthEffect","ValuationMethod","Value","ApplyDiscount","IncidenceEndpoint"
1,"PM Acute Myocardial Infarction, Nonfatal",PM2.5,1.0,Daily,Wei et al.,2019,65,99,(1-(1/((1-Incidence)*EXP(Beta*DELTAQ)+Incidence)))*Incidence*POP*A,0.024121307,No,0.000229328,0.925661,% of hospMI surviving 28 days,0.0,,0.0,,0,"Acute Myocardial Infarction, Nonfatal","COI: 3 yr med costs, 5 yr wages, 3%, 7% DR",70395.70999999999,YES,"Acute Myocardial Infarction, Nonfatal"
2,PM Minor Restricted Activity Days,PM2.5,1.0,Daily,Ostro and Rothschild,1989,18,64,(1-(1/EXP(Beta*DELTAQ)))*A*POP,0.00741,No,0.0007,0.02137,"mRAD18to64; Ostro and Rothschild, 1989, p 243.",0.0,,0.0,,0,Minor Restricted Activity Days,"WTP: 1 day, CV studies",97.94,NO,Minor Restricted Activity Days
3,"PM Asthma Symptoms, Albuterol use",PM2.5,1.0,Daily,Rabinovitch et al.,2006,6,17,(1-(1/EXP(Beta*DELTAQ)))*A*POP*Incidence,0.001995873,No,0.00147708,2.2,Average incidence of daily inhaler use from Ta,0.0,,0.0,,0,"Asthma Symptoms, Albuterol use",COI: Use of inhaler,0.5,NO,"Asthma Symptoms, Albuterol use"
4,"PM ER visits, All Cardiac Outcomes",PM2.5,1.0,Daily,Ostro et al.,2016,0,99,(1-(1/((1-Incidence)*EXP(Beta*DELTAQ)+Incidence)))*Incidence*POP,0.000611896,No,0.000422018,0.0,,0.0,,0.0,,0,"ER visits, All Cardiac Outcomes",COI: med costs,1674.8,NO,"ER visits, All Cardiac Outcomes"
5,"PM ER visits, respiratory",PM2.5,0.25,Daily,Krall et al.,2016,0,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.000545319,No,0.00026745,0.0,,0.0,,0.0,,0,"ER visits, respiratory",COI: med costs,1261.7,NO,"ER visits, respiratory"
6,"PM ER visits, respiratory",PM2.5,0.25,Daily,Krall et al.,2016,0,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.000967674,No,0.000351616,0.0,,0.0,,0.0,,0,"ER visits, respiratory",COI: med costs + wage loss,1261.7,NO,"ER visits, respiratory"
7,"PM ER visits, respiratory",PM2.5,0.25,Daily,Krall et al.,2016,0,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.000831926,No,0.000329137,0.0,,0.0,,0.0,,0,"ER visits, respiratory",COI: med costs + wage loss,1261.7,NO,"ER visits, respiratory"
8,"PM ER visits, respiratory",PM2.5,0.25,Daily,Krall et al.,2016,0,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.001352835,No,0.000588468,0.0,,0.0,,0.0,,0,"ER visits, respiratory",COI: med costs + wage loss,1261.7,NO,"ER visits, respiratory"
9,"PM HA, Cardio-, Cerebro- and Peripheral Vascular Disease",PM2.5,1.0,Daily,Bell et al.,2015,65,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.000647897,No,0.0000887,0.0,,0.0,,0.0,,0,"HA, Cardio-, Cerebro- and Peripheral Vascular Disease",COI: med costs + wage loss,22340.06,NO,"HA, Cardio-, Cerebro- and Peripheral Vascular Disease"
10,"PM HA, Alzheimers Disease",PM2.5,1.0,Annual,Kioumourtzoglou et al.,2016,65,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP*A,0.139761942,No,0.017753391,365.0,Factor to convert incidence from daily to annual,0.0,,0.0,,0,"HA, Alzheimers Disease",COI: med costs + wage loss,17382.579999999998,NO,"HA, Alzheimers Disease"
11,"PM HA, Parkinsons Disease",PM2.5,1.0,Annual,Kioumourtzoglou et al.,2016,65,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP*A,0.076961041,No,0.018905095,365.0,Factor to convert incidence from daily to annual,0.0,,0.0,,0,"HA, Parkinsons Disease",COI: med costs + wage loss,18526.46,NO,"HA, Parkinsons Disease"
12,"PM HA, Respiratory-2",PM2.5,1.0,Daily,Bell et al.,2015,65,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.000249688,No,0.000119605,0.0,,0.0,,0.0,,0,"HA, Respiratory-2",COI: med costs + wage loss,52561.36,NO,"HA, Respiratory-2"
13,"PM HA, All Respiratory",PM2.5,1.0,Daily,Ostro et al.,2009,0,18,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.002752177,No,0.000772216,0.0,,0.0,,0.0,,0,"HA, All Respiratory",COI: med costs + wage loss,13950.2,NO,"Hospital Admissions, Respiratory"
14,"PM Incidence, Stroke",PM2.5,1.0,Annual,Kloog et al.,2012,65,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.00343048,No,0.001265393,0.0,,0.0,,0.0,,0,"Incidence, Stroke",COI: 1 yr med costs (excluding hospitalization costs),48995.39,NO,"Incidence, Stroke"
15,"PM Incidence, Out of Hospital Cardiac Arrest",PM2.5,0.333333333,Daily,Silverman et al.,2010,0,99,(1-(1/((1-Incidence)*EXP(Beta*DELTAQ)+Incidence)))*Incidence*POP,0.003922071,No,0.002219678,0.0,,0.0,,0.0,,0,"Incidence, Out of Hospital Cardiac Arrest","COI: 3 yr med costs, 3%, 7% DR",51579.18,YES,"Incidence, Out of Hospital Cardiac Arrest"
16,"PM Incidence, Out of Hospital Cardiac Arrest",PM2.5,0.333333333,Daily,Rosenthal et al.,2008,0,99,(1-(1/((1-Incidence)*EXP(Beta*DELTAQ)+Incidence)))*Incidence*POP,0.001980263,No,0.00501812,0.0,,0.0,,0.0,,0,"Incidence, Out of Hospital Cardiac Arrest","COI: 3 yr med costs, 3%, 7% DR",51579.18,YES,"Incidence, Out of Hospital Cardiac Arrest"
17,"PM Incidence, Out of Hospital Cardiac Arrest",PM2.5,0.333333333,Daily,Ensor et al.,2013,18,99,(1-(1/((1-Incidence)*EXP(Beta*DELTAQ)+Incidence)))*Incidence*POP,0.006376452,No,0.002823234,0.0,,0.0,,0.0,,0,"Incidence, Out of Hospital Cardiac Arrest","COI: 3 yr med costs, 3%, 7% DR",51579.18,YES,"Incidence, Out of Hospital Cardiac Arrest"
18,"PM Incidence, Lung Cancer",PM2.5,1.0,Annual,Gharibvand et al.,2016,85,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.037843644,No,0.013121408,0.0,,0.0,,0.0,,0,"Incidence, Lung Cancer","SEER Age-Distribution Adjustment Factor; COI: 5 yrs med, 3%, 7% DR, Kaye (2018)",44713.69,YES,"Incidence, Lung Cancer"
19,"PM Incidence, Lung Cancer",PM2.5,1.0,Annual,Gharibvand et al.,2016,30,34,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.037843644,No,0.013121408,0.0,,0.0,,0.0,,0,"Incidence, Lung Cancer","SEER Age-Distribution Adjustment Factor; COI: 5 yrs med, 3%, 7% DR, Kaye (2018)",17085.010000000002,YES,"Incidence, Lung Cancer"
