CRFunctionID,Endpoint,AirPollutant,PoolingWeight,Seasonal_Metric,Study_Author,Study_Year,Start_Age,End_Age,Function,Beta,Adjusted,Parameter_1_Beta,A,Name_A,B,Name_B,C,Name_C,Cases,HealthEffect,ValuationMethod, Value ,ApplyDiscount,IncidenceEndpoint
1,"PM Acute Myocardial Infarction, Nonfatal",PM2.5,1,Daily,Wei et al.,2019,65,99,(1-(1/((1-Incidence)*EXP(Beta*DELTAQ)+Incidence)))*Incidence*POP*A,0.024121307,No,0.000229328,0.925661,% of hospMI surviving 28 days,0,,0,,0,"Acute Myocardial Infarction, Nonfatal",Valuation Method," $89,146.68 ",YES,"Acute Myocardial Infarction, Nonfatal"
2,PM Minor Restricted Activity Days,PM2.5,1,Daily,Ostro and Rothschild,1989,18,64,(1-(1/EXP(Beta*DELTAQ)))*A*POP,0.00741,No,0.0007,0.02137,"mRAD18to64; Ostro and Rothschild, 1989, p 243.",0,,0,,0,Minor Restricted Activity Days,Valuation Method, $120.96 ,NO,Minor Restricted Activity Days
3,"PM Asthma Symptoms, Albuterol use",PM2.5,1,Daily,Rabinovitch et al.,2006,6,17,(1-(1/EXP(Beta*DELTAQ)))*A*POP*Incidence,0.001995873,No,0.00147708,2.2,Average incidence of daily inhaler use from Ta,0,,0,,0,"Asthma Symptoms, Albuterol use",Valuation Method, $0.63 ,NO,"Asthma Symptoms, Albuterol use"
4,"PM ER visits, All Cardiac Outcomes",PM2.5,1,Daily,Ostro et al.,2016,0,99,(1-(1/((1-Incidence)*EXP(Beta*DELTAQ)+Incidence)))*Incidence*POP,0.000611896,No,0.000422018,0,,0,,0,,0,"ER visits, All Cardiac Outcomes",Valuation Method," $2,120.90 ",NO,"ER visits, All Cardiac Outcomes"
5,"PM ER visits, respiratory",PM2.5,0.25,Daily,Krall et al.,2016,0,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.000545319,No,0.00026745,0,,0,,0,,0,"ER visits, respiratory",Valuation Method," $1,597.78 ",NO,"ER visits, respiratory"
6,"PM ER visits, respiratory",PM2.5,0.25,Daily,Krall et al.,2016,0,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.000967674,No,0.000351616,0,,0,,0,,0,"ER visits, respiratory",Valuation Method," $1,597.78 ",NO,"ER visits, respiratory"
7,"PM ER visits, respiratory",PM2.5,0.25,Daily,Krall et al.,2016,0,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.000831926,No,0.000329137,0,,0,,0,,0,"ER visits, respiratory",Valuation Method," $1,597.78 ",NO,"ER visits, respiratory"
8,"PM ER visits, respiratory",PM2.5,0.25,Daily,Krall et al.,2016,0,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.001352835,No,0.000588468,0,,0,,0,,0,"ER visits, respiratory",Valuation Method," $1,597.78 ",NO,"ER visits, respiratory"
9,"PM HA, Cardio-, Cerebro- and Peripheral Vascular Disease",PM2.5,1,Daily,Bell et al.,2015,65,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.000647897,No,0.0000887,0,,0,,0,,0,"HA, Cardio-, Cerebro- and Peripheral Vascular Disease",Valuation Method," $28,273.07 ",NO,"HA, Cardio-, Cerebro- and Peripheral Vascular Disease"
10,"PM HA, Alzheimers Disease",PM2.5,1,Annual,Kioumourtzoglou et al.,2016,65,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP*A,0.139761942,No,0.017753391,365,Factor to convert incidence from daily to annual,0,,0,,0,"HA, Alzheimers Disease",Valuation Method," $21,983.68 ",NO,"HA, Alzheimers Disease"
