Year,DestinationID,FIPS,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,Age18,Age19,Age20,Age21,Age22,Age23,Age24,Age25,Age26,Age27,Age28,Age29,Age30,Age31,Age32,Age33,Age34,Age35,Age36,Age37,Age38,Age39,Age40,Age41,Age42,Age43,Age44,Age45,Age46,Age47,Age48,Age49,Age50,Age51,Age52,Age53,Age54,Age55,Age56,Age57,Age58,Age59,Age60,Age61,Age62,Age63,Age64,Age65,Age66,Age67,Age68,Age69,Age70,Age71,Age72,Age73,Age74,Age75,Age76,Age77,Age78,Age79,Age80,Age81,Age82,Age83,Age84,Age85,Age86,Age87,Age88,Age89,Age90,Age91,Age92,Age93,Age94,Age95,Age96,Age97,Age98,Age99
2035,1,1001,868.717,898.800675,898.800675,898.800675,898.800675,922.14248,922.14248,922.14248,922.14248,922.14248,937.68088,937.68088,937.68088,937.68088,937.68088,973.03492,973.03492,973.03492,973.03492,973.03492,650.77704,650.77704,650.77704,650.77704,650.77704,858.31904,858.31904,858.31904,858.31904,858.31904,948.95798,948.95798,948.95798,948.95798,948.95798,968.42152,968.42152,968.42152,968.42152,968.42152,1059.6802,1059.6802,1059.6802,1059.6802,1059.6802,886.0222,886.0222,886.0222,886.0222,886.0222,823.90632,823.90632,823.90632,823.90632,823.90632,791.25372,791.25372,791.25372,791.25372,791.25372,886.34938,886.34938,886.34938,886.34938,886.34938,851.81628,851.81628,851.81628,851.81628,851.81628,862.05248,862.05248,862.05248,862.05248,862.05248,690.1104,690.1104,690.1104,690.1104,690.1104,448.05478,448.05478,448.05478,448.05478,448.05478,98.65198,98.65198,98.65198,98.65198,98.65198,98.65198,98.65198,98.65198,98.65198,98.65198,98.65198,98.65198,98.65198,98.65198,98.65198
2035,2,1003,3466.3772,3540.222625,3540.222625,3540.222625,3540.222625,3556.72538,3556.72538,3556.72538,3556.72538,3556.72538,3571.024,3571.024,3571.024,3571.024,3571.024,3456.82748,3456.82748,3456.82748,3456.82748,3456.82748,2592.77926,2592.77926,2592.77926,2592.77926,2592.77926,3301.50236,3301.50236,3301.50236,3301.50236,3301.50236,3583.90208,3583.90208,3583.90208,3583.90208,3583.90208,3710.41284,3710.41284,3710.41284,3710.41284,3710.41284,3761.8928,3761.8928,3761.8928,3761.8928,3761.8928,3437.46402,3437.46402,3437.46402,3437.46402,3437.46402,3267.79444,3267.79444,3267.79444,3267.79444,3267.79444,3368.48246,3368.48246,3368.48246,3368.48246,3368.48246,3650.25818,3650.25818,3650.25818,3650.25818,3650.25818,3822.12742,3822.12742,3822.12742,3822.12742,3822.12742,4096.37628,4096.37628,4096.37628,4096.37628,4096.37628,3609.00658,3609.00658,3609.00658,3609.00658,3609.00658,2648.94178,2648.94178,2648.94178,2648.94178,2648.94178,809.1179467,809.1179467,809.1179467,809.1179467,809.1179467,809.1179467,809.1179467,809.1179467,809.1179467,809.1179467,809.1179467,809.1179467,809.1179467,809.1179467,809.1179467
2035,3,1005,243.1282,245.5762,245.5762,245.5762,245.5762,267.52276,267.52276,267.52276,267.52276,267.52276,274.79052,274.79052,274.79052,274.79052,274.79052,276.96474,276.96474,276.96474,276.96474,276.96474,255.3552,255.3552,255.3552,255.3552,255.3552,300.16296,300.16296,300.16296,300.16296,300.16296,289.3535,289.3535,289.3535,289.3535,289.3535,270.42738,270.42738,270.42738,270.42738,270.42738,394.38094,394.38094,394.38094,394.38094,394.38094,435.76972,435.76972,435.76972,435.76972,435.76972,453.47488,453.47488,453.47488,453.47488,453.47488,381.22324,381.22324,381.22324,381.22324,381.22324,400.78226,400.78226,400.78226,400.78226,400.78226,372.22234,372.22234,372.22234,372.22234,372.22234,358.23892,358.23892,358.23892,358.23892,358.23892,273.76392,273.76392,273.76392,273.76392,273.76392,228.00804,228.00804,228.00804,228.00804,228.00804,49.38103333,49.38103333,49.38103333,49.38103333,49.38103333,49.38103333,49.38103333,49.38103333,49.38103333,49.38103333,49.38103333,49.38103333,49.38103333,49.38103333,49.38103333
2035,4,1007,253.9063,244.655375,244.655375,244.655375,244.655375,247.98558,247.98558,247.98558,247.98558,247.98558,249.23644,249.23644,249.23644,249.23644,249.23644,254.32914,254.32914,254.32914,254.32914,254.32914,222.57834,222.57834,222.57834,222.57834,222.57834,286.42364,286.42364,286.42364,286.42364,286.42364,292.7883,292.7883,292.7883,292.7883,292.7883,325.58476,325.58476,325.58476,325.58476,325.58476,342.6863,342.6863,342.6863,342.6863,342.6863,364.2673,364.2673,364.2673,364.2673,364.2673,351.62904,351.62904,351.62904,351.62904,351.62904,346.2864,346.2864,346.2864,346.2864,346.2864,354.9156,354.9156,354.9156,354.9156,354.9156,335.00992,335.00992,335.00992,335.00992,335.00992,318.46088,318.46088,318.46088,318.46088,318.46088,249.86458,249.86458,249.86458,249.86458,249.86458,170.90572,170.90572,170.90572,170.90572,170.90572,33.51415333,33.51415333,33.51415333,33.51415333,33.51415333,33.51415333,33.51415333,33.51415333,33.51415333,33.51415333,33.51415333,33.51415333,33.51415333,33.51415333,33.51415333
2035,5,1009,937.4056,909.639825,909.639825,909.639825,909.639825,920.0275,920.0275,920.0275,920.0275,920.0275,903.57758,903.57758,903.57758,903.57758,903.57758,879.33822,879.33822,879.33822,879.33822,879.33822,745.01942,745.01942,745.01942,745.01942,745.01942,931.8292,931.8292,931.8292,931.8292,931.8292,965.18414,965.18414,965.18414,965.18414,965.18414,997.76492,997.76492,997.76492,997.76492,997.76492,938.78918,938.78918,938.78918,938.78918,938.78918,813.05518,813.05518,813.05518,813.05518,813.05518,788.3156,788.3156,788.3156,788.3156,788.3156,766.67916,766.67916,766.67916,766.67916,766.67916,835.1521,835.1521,835.1521,835.1521,835.1521,847.32092,847.32092,847.32092,847.32092,847.32092,837.67156,837.67156,837.67156,837.67156,837.67156,659.984,659.984,659.984,659.984,659.984,478.27136,478.27136,478.27136,478.27136,478.27136,114.6228067,114.6228067,114.6228067,114.6228067,114.6228067,114.6228067,114.6228067,114.6228067,114.6228067,114.6228067,114.6228067,114.6228067,114.6228067,114.6228067,114.6228067
2035,6,1011,113.6937,121.16205,121.16205,121.16205,121.16205,126.68366,126.68366,126.68366,126.68366,126.68366,129.51688,129.51688,129.51688,129.51688,129.51688,132.49202,132.49202,132.49202,132.49202,132.49202,111.1752,111.1752,111.1752,111.1752,111.1752,121.84492,121.84492,121.84492,121.84492,121.84492,89.27382,89.27382,89.27382,89.27382,89.27382,101.2111,101.2111,101.2111,101.2111,101.2111,135.79112,135.79112,135.79112,135.79112,135.79112,150.07874,150.07874,150.07874,150.07874,150.07874,150.10858,150.10858,150.10858,150.10858,150.10858,116.92156,116.92156,116.92156,116.92156,116.92156,116.18214,116.18214,116.18214,116.18214,116.18214,111.38838,111.38838,111.38838,111.38838,111.38838,109.95554,109.95554,109.95554,109.95554,109.95554,109.54304,109.54304,109.54304,109.54304,109.54304,79.4234,79.4234,79.4234,79.4234,79.4234,16.88092,16.88092,16.88092,16.88092,16.88092,16.88092,16.88092,16.88092,16.88092,16.88092,16.88092,16.88092,16.88092,16.88092,16.88092
2035,7,1013,195.8261,210.182975,210.182975,210.182975,210.182975,229.13956,229.13956,229.13956,229.13956,229.13956,248.31764,248.31764,248.31764,248.31764,248.31764,249.44776,249.44776,249.44776,249.44776,249.44776,174.02336,174.02336,174.02336,174.02336,174.02336,201.05996,201.05996,201.05996,201.05996,201.05996,200.48902,200.48902,200.48902,200.48902,200.48902,207.5879,207.5879,207.5879,207.5879,207.5879,252.00094,252.00094,252.00094,252.00094,252.00094,255.74626,255.74626,255.74626,255.74626,255.74626,245.45578,245.45578,245.45578,245.45578,245.45578,247.46042,247.46042,247.46042,247.46042,247.46042,213.55624,213.55624,213.55624,213.55624,213.55624,205.6914,205.6914,205.6914,205.6914,205.6914,234.2867,234.2867,234.2867,234.2867,234.2867,227.44572,227.44572,227.44572,227.44572,227.44572,179.44128,179.44128,179.44128,179.44128,179.44128,47.89212,47.89212,47.89212,47.89212,47.89212,47.89212,47.89212,47.89212,47.89212,47.89212,47.89212,47.89212,47.89212,47.89212,47.89212
2035,8,1015,1466.9828,1479.845725,1479.845725,1479.845725,1479.845725,1504.25592,1504.25592,1504.25592,1504.25592,1504.25592,1525.70242,1525.70242,1525.70242,1525.70242,1525.70242,1675.42356,1675.42356,1675.42356,1675.42356,1675.42356,1464.01348,1464.01348,1464.01348,1464.01348,1464.01348,1431.69754,1431.69754,1431.69754,1431.69754,1431.69754,1413.87692,1413.87692,1413.87692,1413.87692,1413.87692,1466.04296,1466.04296,1466.04296,1466.04296,1466.04296,1422.95854,1422.95854,1422.95854,1422.95854,1422.95854,1691.14896,1691.14896,1691.14896,1691.14896,1691.14896,1464.65074,1464.65074,1464.65074,1464.65074,1464.65074,1381.15624,1381.15624,1381.15624,1381.15624,1381.15624,1297.69426,1297.69426,1297.69426,1297.69426,1297.69426,1259.9796,1259.9796,1259.9796,1259.9796,1259.9796,1267.98634,1267.98634,1267.98634,1267.98634,1267.98634,1114.9819,1114.9819,1114.9819,1114.9819,1114.9819,805.94514,805.94514,805.94514,805.94514,805.94514,197.6560667,197.6560667,197.6560667,197.6560667,197.6560667,197.6560667,197.6560667,197.6560667,197.6560667,197.6560667,197.6560667,197.6560667,197.6560667,197.6560667,197.6560667
2035,9,1017,314.4965,329.9108,329.9108,329.9108,329.9108,355.29518,355.29518,355.29518,355.29518,355.29518,382.50238,382.50238,382.50238,382.50238,382.50238,387.5289,387.5289,387.5289,387.5289,387.5289,304.97138,304.97138,304.97138,304.97138,304.97138,292.44988,292.44988,292.44988,292.44988,292.44988,296.12698,296.12698,296.12698,296.12698,296.12698,327.0464,327.0464,327.0464,327.0464,327.0464,412.15256,412.15256,412.15256,412.15256,412.15256,445.28336,445.28336,445.28336,445.28336,445.28336,414.9341,414.9341,414.9341,414.9341,414.9341,415.09006,415.09006,415.09006,415.09006,415.09006,445.81926,445.81926,445.81926,445.81926,445.81926,447.21962,447.21962,447.21962,447.21962,447.21962,442.00836,442.00836,442.00836,442.00836,442.00836,372.55468,372.55468,372.55468,372.55468,372.55468,284.8452,284.8452,284.8452,284.8452,284.8452,74.28298667,74.28298667,74.28298667,74.28298667,74.28298667,74.28298667,74.28298667,74.28298667,74.28298667,74.28298667,74.28298667,74.28298667,74.28298667,74.28298667,74.28298667
2035,10,1019,322.2876,317.736525,317.736525,317.736525,317.736525,329.6678,329.6678,329.6678,329.6678,329.6678,336.30824,336.30824,336.30824,336.30824,336.30824,334.36914,334.36914,334.36914,334.36914,334.36914,262.66134,262.66134,262.66134,262.66134,262.66134,323.3308,323.3308,323.3308,323.3308,323.3308,365.35448,365.35448,365.35448,365.35448,365.35448,395.03274,395.03274,395.03274,395.03274,395.03274,392.06056,392.06056,392.06056,392.06056,392.06056,348.88164,348.88164,348.88164,348.88164,348.88164,326.47618,326.47618,326.47618,326.47618,326.47618,370.85518,370.85518,370.85518,370.85518,370.85518,444.03924,444.03924,444.03924,444.03924,444.03924,476.80816,476.80816,476.80816,476.80816,476.80816,460.1194,460.1194,460.1194,460.1194,460.1194,388.13074,388.13074,388.13074,388.13074,388.13074,296.26096,296.26096,296.26096,296.26096,296.26096,58.97828,58.97828,58.97828,58.97828,58.97828,58.97828,58.97828,58.97828,58.97828,58.97828,58.97828,58.97828,58.97828,58.97828,58.97828
