"ID","FunctionID","Endpoint","PoolingWeight","Seasonal_Metric","Study_Author","Study_Year","Start_Age","End_Age","Function","Adjusted","Parameter_1_Beta","A","Name_A","B","Name_B","C","Name_C","Cases","IncidenceEndpoint"
1,1,"PM Acute Myocardial Infarction, Nonfatal",1.0,Daily,Wei et al.,2019,65,99,(1-(1/((1-Incidence)*EXP(Beta*DELTAQ)+Incidence)))*Incidence*POP*A,0.024121307,0.000229328,0.925661,% of hospMI surviving 28 days,0.0,,0.0,,0,"Acute Myocardial Infarction, Nonfatal"
2,2,PM Minor Restricted Activity Days,1.0,Daily,Ostro and Rothschild,1989,18,64,(1-(1/EXP(Beta*DELTAQ)))*A*POP,0.00741,0.0007,0.02137,"mRAD18to64; Ostro and Rothschild, 1989, p 243.",0.0,,0.0,,0,Minor Restricted Activity Days
3,3,"PM Asthma Symptoms, Albuterol use",1.0,Daily,Rabinovitch et al.,2006,6,17,(1-(1/EXP(Beta*DELTAQ)))*A*POP*Incidence,0.001995873,0.00147708,2.2,Average incidence of daily inhaler use from Ta,0.0,,0.0,,0,"Asthma Symptoms, Albuterol use"
4,4,"PM ER visits, All Cardiac Outcomes",1.0,Daily,Ostro et al.,2016,0,99,(1-(1/((1-Incidence)*EXP(Beta*DELTAQ)+Incidence)))*Incidence*POP,0.000611896,0.000422018,0.0,,0.0,,0.0,,0,"ER visits, All Cardiac Outcomes"
5,5,"PM ER visits, respiratory",0.25,Daily,Krall et al.,2016,0,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.000545319,0.00026745,0.0,,0.0,,0.0,,0,"ER visits, respiratory"
6,6,"PM ER visits, respiratory",0.25,Daily,Krall et al.,2016,0,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.000967674,0.000351616,0.0,,0.0,,0.0,,0,"ER visits, respiratory"
7,7,"PM ER visits, respiratory",0.25,Daily,Krall et al.,2016,0,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.000831926,0.000329137,0.0,,0.0,,0.0,,0,"ER visits, respiratory"
8,8,"PM ER visits, respiratory",0.25,Daily,Krall et al.,2016,0,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.001352835,0.000588468,0.0,,0.0,,0.0,,0,"ER visits, respiratory"
9,9,"PM HA, Cardio-, Cerebro- and Peripheral Vascular Disease",1.0,Daily,Bell et al.,2015,65,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.000647897,0.0000887,0.0,,0.0,,0.0,,0,"HA, Cardio-, Cerebro- and Peripheral Vascular Disease"
10,10,"PM HA, Alzheimers Disease",1.0,Annual,Kioumourtzoglou et al.,2016,65,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP*A,0.139761942,0.017753391,365.0,Factor to convert incidence from daily to annual,0.0,,0.0,,0,"HA, Alzheimers Disease"
11,11,"PM HA, Parkinsons Disease",1.0,Annual,Kioumourtzoglou et al.,2016,65,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP*A,0.076961041,0.018905095,365.0,Factor to convert incidence from daily to annual,0.0,,0.0,,0,"HA, Parkinsons Disease"
12,12,"PM HA, Respiratory-2",1.0,Daily,Bell et al.,2015,65,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.000249688,0.000119605,0.0,,0.0,,0.0,,0,"HA, Respiratory-2"
13,13,"PM HA, All Respiratory",1.0,Daily,Ostro et al.,2009,0,18,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.002752177,0.000772216,0.0,,0.0,,0.0,,0,"Hospital Admissions, Respiratory"
14,14,"PM Incidence, Stroke",1.0,Annual,Kloog et al.,2012,65,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.00343048,0.001265393,0.0,,0.0,,0.0,,0,"Incidence, Stroke"
15,15,"PM Incidence, Out of Hospital Cardiac Arrest",0.333333333,Daily,Silverman et al.,2010,0,99,(1-(1/((1-Incidence)*EXP(Beta*DELTAQ)+Incidence)))*Incidence*POP,0.003922071,0.002219678,0.0,,0.0,,0.0,,0,"Incidence, Out of Hospital Cardiac Arrest"
16,16,"PM Incidence, Out of Hospital Cardiac Arrest",0.333333333,Daily,Rosenthal et al.,2008,0,99,(1-(1/((1-Incidence)*EXP(Beta*DELTAQ)+Incidence)))*Incidence*POP,0.001980263,0.00501812,0.0,,0.0,,0.0,,0,"Incidence, Out of Hospital Cardiac Arrest"
17,17,"PM Incidence, Out of Hospital Cardiac Arrest",0.333333333,Daily,Ensor et al.,2013,18,99,(1-(1/((1-Incidence)*EXP(Beta*DELTAQ)+Incidence)))*Incidence*POP,0.006376452,0.002823234,0.0,,0.0,,0.0,,0,"Incidence, Out of Hospital Cardiac Arrest"
18,18,"PM Incidence, Lung Cancer",1.0,Annual,Gharibvand et al.,2016,85,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.037843644,0.013121408,0.0,,0.0,,0.0,,0,"Incidence, Lung Cancer"
19,19,"PM Incidence, Lung Cancer",1.0,Annual,Gharibvand et al.,2016,30,34,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.037843644,0.013121408,0.0,,0.0,,0.0,,0,"Incidence, Lung Cancer"
20,20,"PM Incidence, Lung Cancer",1.0,Annual,Gharibvand et al.,2016,35,44,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.037843644,0.013121408,0.0,,0.0,,0.0,,0,"Incidence, Lung Cancer"
21,21,"PM Incidence, Lung Cancer",1.0,Annual,Gharibvand et al.,2016,45,54,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.037843644,0.013121408,0.0,,0.0,,0.0,,0,"Incidence, Lung Cancer"
22,22,"PM Incidence, Lung Cancer",1.0,Annual,Gharibvand et al.,2016,55,64,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.037843644,0.013121408,0.0,,0.0,,0.0,,0,"Incidence, Lung Cancer"
23,23,"PM Incidence, Lung Cancer",1.0,Annual,Gharibvand et al.,2016,65,74,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.037843644,0.013121408,0.0,,0.0,,0.0,,0,"Incidence, Lung Cancer"
24,24,"PM Incidence, Lung Cancer",1.0,Annual,Gharibvand et al.,2016,75,84,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.037843644,0.013121408,0.0,,0.0,,0.0,,0,"Incidence, Lung Cancer"
25,25,"PM Incidence, Hay Fever/Rhinitis",1.0,Annual,Parker et al.,2009,3,17,(1-(1/((1-Incidence)*EXP(Beta*DELTAQ)+Incidence)))*Incidence*POP,0.025464222,0.00961804,0.0,,0.0,,0.0,,0,"Incidence, Hay Fever/Rhinitis"
26,26,"PM Incidence, Asthma",1.0,Annual,Tetreault et al.,2016,0,4,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP*(1-A),0.04367212,0.000884555,0.038,Prevalence of Asthma,0.0,,0.0,,0,"Incidence, Asthma"
27,27,"PM Incidence, Asthma",1.0,Annual,Tetreault et al.,2016,5,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP*(1-A),0.04367212,0.000884555,0.089307692,Prevalence of Asthma,0.0,,0.0,,0,"Incidence, Asthma"
28,28,PM Infant Mortality,1.0,Annual,Woodruff et al.,2008,0,0,(1-(1/((1-Incidence)*EXP(Beta*DELTAQ)+Incidence)))*Incidence*POP,0.005602959,0.004539458,0.0,,,,0.0,,0,"Mortality, All Cause"
29,29,"PM Mortality, All Cause (low)",1.0,Annual,Wu et al.,2020,65,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.00639,0.0003829,0.0,,,,0.0,,0,"Mortality, All Cause"
30,31,"PM Mortality, All Cause (high)",1.0,Annual,Pope et al.,2019,18,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.01133,0.001602064,0.0,,,,0.0,,0,"Mortality, All Cause"
31,32,PM Work Loss Days,1.0,Daily,Ostro,1987,18,64,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.0046,0.00036,0.0,,,,0.0,,0,Work Loss Days
32,33,"O3 ER visits, respiratory",0.2,Ozone,Barry et al.,2018,0,99,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.000792105,0.000298677,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"ER visits, respiratory"
